RECORD ID,PUBLICATION DATE,DETECTION DATE,CONTENT TYPE,MANIPULATION METHOD,LABEL BINARY,VERACITY CLEAN,TOPIC,PLATFORM,GEOGRAPHICAL REGION,DETECTION LAG (DAYS),DETECTION SPEED,AI_PRIORITY,AI_RECOMMENDED_ACTION,AI_RISK_FACTOR,,AI Priority Summary,,,,,,
DMD-00001,7/17/2020,9/18/2020,audio,VoiceConversion,1,mostly-false,Sports,YouTube,Latin America,63,Medium,High,Remove content immediately and escalate to YouTube's audio deepfake detection pipeline for retroactive scanning of similar VoiceConversion content in the Latin America region.,Sports misinformation spreads virally through fan communities — a 63-day undetected window means significant audience exposure and potential reputational harm to athletes.,,8,,,,,,
DMD-00002,11/20/2020,12/17/2020,video,Authentic,0,mostly-true,Politics,Twitter/X,Middle East,27,Fast,Low,No removal needed — mark as authentic and close case.,Authentic political content in the Middle East can still be miscontextualised by bad actors even without manipulation.,,4,,,,,,
DMD-00003,10/31/2022,4/15/2023,video,Face2Face,1,mostly-true,Politics,Instagram,Southeast Asia,166,Slow,High,Remove immediately and audit Instagram's Face2Face detection capability in Southeast Asia for systemic gaps.,166-day lag on political deepfakes in Southeast Asia indicates critical regional enforcement blind spot.,,6,,,,,,
DMD-00004,10/11/2019,2/19/2020,image,Splicing,1,pants-fire,War/Conflict,Instagram,East Asia,131,Slow,High,Remove and escalate to war/conflict rapid response team for cross-platform spread assessment.,War/conflict spliced imagery can incite real-world violence — 131-day detection window is a severe safety risk.,,,,,,,,
DMD-00005,1/13/2023,3/22/2023,video,SimSwap,1,mostly-true,Entertainment,YouTube,Sub-Saharan Africa,68,Medium,Medium,Remove content and flag SimSwap technique for enhanced scanning in Sub-Saharan Africa region.,"Entertainment deepfakes normalise synthetic media consumption, reducing audience scepticism over time.",,,,,,,,
DMD-00006,9/13/2022,1/13/2023,image,StyleGAN2,1,true,Politics,Facebook,Middle East,122,Slow,High,Remove and issue policy violation to account — escalate StyleGAN2 political content for regional task force review.,AI-generated political imagery in the Middle East with 122-day lag poses significant election integrity and civil unrest risk.,,,,,,,,
DMD-00007,3/6/2019,5/30/2019,video,FaceSwap,1,true,Science,Twitter/X,Latin America,85,Medium,Medium,Remove and add to science misinformation watchlist for Latin America.,Deepfake science content erodes public trust in legitimate research and expert voices.,,,,,,,,
DMD-00008,7/24/2020,11/20/2020,image,Copy-Move,1,mostly-true,Sports,Facebook,East Asia,119,Slow,Medium,Remove content and flag account for repeat monitoring.,Sports image manipulation spreads rapidly during live events — 119-day lag means multiple viral cycles likely occurred.,,,,,,,,
DMD-00009,11/14/2019,1/2/2020,image,GAN-Generated,1,pants-fire,Health/Medical,TikTok,Middle East,49,Medium,High,Remove immediately and escalate to health misinformation rapid response team.,Medical misinformation on TikTok reaches young audiences quickly — GAN-generated health content can cause direct harm through false treatment guidance.,,,,,,,,
DMD-00010,2/23/2020,8/13/2020,image,Authentic,0,pants-fire,War/Conflict,YouTube,Latin America,172,Slow,Low,"Close case — content is authentic, no removal needed.",Authentic war/conflict content can still be weaponised through false contextualisation despite being unmanipulated.,,,,,,,,
